Feed,Sentiment
 اربد  في +ها جامعات  اكثر  من  عمان  .  .  .  و+ في +ها قد  عمان  و+ نص  لعيب +ه ال+ منتخب  من +ها .  .  .  و  80  %  من  مطربين  ال+ اردن  من +ها,Positive
 ال+ حلو  ان +كم بتحكوا  علي  اساس  انو  ال+ اردن  ما  في +ه فساد  سرقات,Negative
 كل +ه راءع  ب+ جد  رب +نا يكرم +ك,Positive
 لسان +ك قذر  يا  قمامه,Negative
 انا  داشره  و+ غير  متزوجه  و+ لدي  علاقات  مشبوه  و+ احشش  و+ احيانا  اهرب  مخدرات  و  اجيد  ال+ تسليك  احب  ان  انكب  نفس +ي و+ علاقتي  ب+ ال+ منزل  متوتر +ه جد,Negative
 ابشر +ك في +ه تحسن  و+ ل+ الله  ال+ حمد  ب+ اذن  الله  يرجع  قريبا,Positive
 ابو  ال+ شباب  راعي  ال+ عود  ليش  ماوزنه  في  ال+ بيت  غباء,Negative
 ابو  معيتق  قطع  اوتار  ال+ عود  و+ قال  ال+ سلام  علي +كم,Negative
 اتحزن  ف+ ان  الله  يدافع  عن +ك و+ ال+ ملاءكه  تستغفر  ل +ك و  ال+ مءمنون  يشركون +ك في  دعاء +هم كل  صلاه  و  ال+ نبي  صلي  الله  علي +ه سلم  يشفع  و  ال+ قران  يعد +ك وعدا  حسنا  و  فوق  هذا  رحم +ه ارحم  الراحمين,Positive
 اترك  ما  تهوي  ل+ اجل  من  تخشي,Positive
 اتصور  لو  ظليت  ما  اتعلق  احسن  ان +ه تعليقات +ك مقرف +ه,Negative
 اتفه  علي  هيك  برنامج  عالمي,Negative
 اتقوا  الله  في +نا ب+ كف +ي رفع  اسعار  ال+ رواتب  ب+ ال+ حضيض,Negative
 اجتماع  حواء  اكيد  في  خرفنه,Negative
 اجل  ال+ اخير  واضح  انو  بيمثل  وتمثيلو  خام  هو  و+ الا  معو,Negative
 احب  الله  تعالي  و  رسول +ه ال+ كريم,Positive
 احتمال  ما  يشارك  الليو  البايخ,Negative
 احذف +ه ان +ي بجلس  احش  في +هم ل+ مين  اكفر,Negative
 احس  ان +ه يفطر  حشيش,Negative
 احسن  اظن  ب+ الله  و+ توكل  علي +ه وحد +ه,Positive
 احسن  شيء  ال+ عمل  الذي  يءدي  ل+ ال+ استمراريه,Positive
 احسنت  وصفت  ما  يدور  او  يجول  في  راس  كل  شاب  ملتزم  كل  فتيان +ه عفيف +ه نقي +ه تقي +ه,Positive
 احسنت  كلام  دقيق  جدا,Positive
 احسنوا  ال+ ظن  وثقوا  ب+ ما  عند  الله  و+ توكلوا  علي +ه لا  تفسد  عقل +ك ب+ ال+ تشاءم,Positive
 احقر  من  هيك  خيانه  ما  في,Negative
 احلي  اشي  ال+ واحد  يوكل  ب+ دون  ما  يطبخ,Positive
 احلي  اشي  في  ال+ حياه  ال+ استقرار  مع  زوج  صالح,Positive
 احلي  شيء  ال+ نهايه  ال+ باقيه  صح  كلام +ك,Positive
 احلي  صباح  من  احلي  شيخ  في  ال+ عالم,Positive
 احمد  الله  تعالي  ان  اولاد +ي لايدرسون  في  مدارس  ال+ اردن  .,Negative
 احيانا  ال+ وحده  تزيل  بعضا  من  ال+ هموم,Positive
 احيانا  يكون  ال+ فشل  دافع  ل+ ال+ نجاح,Positive
 اخ  يا  بطن +ي عور +ني من  الضحكك,Negative
 اخبار  مسخر +ه,Negative
 اخر  هم +ي ان +ي اتناقش  مع  اي  كاءن  حي  اواتجادل  ب+ ذات  اذاكان  عقيم  فكريا,Negative
 اخر  واحد  اش  في +ه مجنون  المفرووض  ال+ لجنه  تمنع  ال+ مجانين,Negative
 اخر  واحد  مهستر,Negative
 اخرس  صحيح  ما  تفهم,Negative
 ادعي  من  الله  ان  يقو +ني علي  طاعه +ه,Positive
 اذا  اردت  ان  يفتح  الله  علي +ك ف+ الزم  هذا  ال+ دعاء  ال+ بسيط  اللهم  اجعل  ا  لا  خر +ه هم +ي,Positive
 اذا  استعنت  ب+ الله  و+ توكلت  علي +ه و+ نيه +ك كانت  صادق +ه سوف  يقف  الله  ب+ جوار +ك و+ لن  يخزل +ك ابدا  ?  احب +ك رب +ي,Positive
 اذا  ال+ خبر  صحيح  انا  اول  شخص  ب+ طالب  ب+ ال+ هجره  ل+ اي  دول +ه خليجي +ه او  اوروبيه  او  حتي  اسراءيل,Negative
 اذا  شعرت  ب+ شيء  من  حالات  ال+ احباط  و+ ال+ ملل  ف+ جرب  ال+ عمل  ال+ تطوعي,Positive
 اذا  غلب +ك امر  و+ عجزت  عن  ال+ تعامل  مع +ه ف+ كرر  يا  حي  يا  قيوم  ب+ رحمه +ك استغيث,Positive
" اذا  فكرت  مر +ه تخسر  اصحاب +ك يا  ليت  تخسر +هم علي  احد  يستاهل  ,  صح  ال+ حياه  تعطي +ك ميه  حب  بس  ال+ حياه  ما  تهدي +ك اصحاب  مرتين",Negative
 اذا  كان  ال+ مدير  يخاف  من  معلم  مبدع  و+ كان  زملاء  ال+ عمل  يحاربون  هذا  ال+ معلم  ف+ هم  في  ال+ حقيقه  ينتقصون  من  حظ  طلاب +ه,Negative
 اذا  كان  حال +ك احسن  من  حالو  دوس  لايك  و+ قول  سبحان  الله,Negative
" اذا  كنا  ب+ ال+ فعل  علي  موعد  مع  رفع  ل+ اسعار  ال+ خبز  كما  يشاع  ,  ف+ ال+ اولي  ب+ ال+ حكومه  اولا  ان  تقوم  ب+ ترشيد  ال+ دعم  بحيث  يذهب  فقط  ل+ من  يستحق +ه !",Negative
 اذا  لم  تقل  لا  ل+ ال+ ظلم  ف+ س+ يستمر  الي  ال+ ابد,Positive
 اذا  مرت +ك ب+ تعمل  هيك  يا  ادمن  لا  تفكر  كل  ال+ رجال  مثل +ك تفي  علي +ك,Negative
 ارجو +ك يا  استاذ +نا ال+ فاضل  ادعيلي  ب+ ال+ نجاح  في  مسابق +ه المجستير  ال+ عام  ال+ قادم  و+ ال+ شفاء  بارك  الله  في +ك,Positive
 ارحمونا  صر +نا نصف  ال+ سياره  نطلع  ب+ ال+ باص  حرام  علي +كم,Negative
 ارحمونا  من  ال+ جوكر,Negative
 اساس  ال+ اصلاح  و+ اهم  مرتكزات +ه ال+ معلم  داخل  غرف +ه ال+ صف  مع  طلاب +ه و+ تلاميذ +ه و+ ال+ اعتماد  علي +ه ب+ ال+ تنفيذ  ل+ خطط  و+ استراتيجيات  عليا,Positive
 اسال  الله  ان  يرزق +ني من  يدعو  ل +ي في  ظهر  ال+ غيب,Positive
 اسال  الله  عزوجل  ل +ه ال+ ثبات,Positive
 اسال  الله  في  علاه  ان  يحفظ +كم ب+ ما  يحفظ  ب +ه عباد +ه ال+ صالحون,Positive
