Tweet,label
" انا  اءمن  ب+ ان  ال+ انسان  ينطفء  جمال +ه عند  ابتعاد  من  يحب  ,  حتي  بريق  ال+ عيون  يختفي  ف+ يصبح  ذابل  منطفءا  ,  يتحول  ربيع +ه الي  خريف  .  .",negative
 من  ال+ ذاكره  .  .  عندما +ما اعتقد  كريستيانو  ان +ه ثاني  افضل  لاعب  في  ال+ عالم  بعد  كاكا  و  ميس +ي ثالث  ثم  حدث  ال+ عكس  سخر,positive
 لا  نخلو  من  ضغوطات  ال+ حياه  .  ف+ نحن  نعيش  علي  ارض  اعدت  ل+ ال+ بلاء  و+ لم  يسلم  من +ها حتي  ال+ انبياء  .  توكل  علي  الله  داءم  و+ كن  مطمءن  و+ واثق  ب+ الله  .,neutral
" ""  مصطلحات  لبناني +ه حيرت  ال+ بشريه  ب+ توصل  عالبيت  ,  بنط  واحد  ب+ قل +ك جيت  ?  ,  بتقعد  ل+ تتحدث  معو  ب+ قل +ك شو  في  ما  في  ?  ,  بتقوم  ل+ تمشي  ب+ قل +ك ناس +ي شي  ?  """,negative
 نصمت  !  !  ل+ تسير  حياه +نا علي  م  يرام  ف+ ال+ ناس  لم  تعد  كما  كانت  .  نقي +ه,negative
" يراس  صاحب  ال+ سمو  ال+ ملكي  ال+ امير  ال+ دكتور  حسام  بن  سعود  بن  عبدالعزيز  امير  منطق +ه ال+ باحه  غد  ,  جلسات  مجلس  ال+ منطقه  في  دورت",neutral
 اكثر  ما  يزعج +نا بعد  مستوي +نا خارج  ارض +نا .  هو  تمثيل  كونتي  بعد  فوز +ه علي +نا,negative
" لا  تستسلم  ل+ ال+ مصاعب  و+ ال+ ازمات  ,  بل  تحد +ها ب+ ال+ ايمان  و+ ال+ صبر  ,  ف+ كل  ال+ عظماء  كافحوا  و+ تحملوا  ال+ مشاق  حتي  وصلوا  بلاط  ال+ مجد  و+ جلسوا  علي  ال+ نجوم",very_positive
 الف  الف  مبروك  ل+ ال+ منتخب  ال+ سوري  كسب  احترام  ال+ جميع  لعب  ب+ روح  و+ ال+ عزيمه  شكرا  علي  كل  شي  قدمتوه  علي  مدار  ال+ تصفيات  ال+ نهايه  ب+ رغم  ال+ ظروف  استراليا  سوريا,very_positive
 شو  حلو  ال+ شعور  ل+ ما  تحاول  تدرس  شي  مش  ف+ اهمو  ب+ ال+ صف  و  ال+ دكتور  ما  خصو  ب+ شي  اسمو  شرح  و  تفهم  كل  شي  ل+ حال +ك انو  بلا  جميله +ك دكتور  واثق,positive
" قيل  ل+ حمدون  بن  احمد  رحم +ه الله  :  .  ما  بال  كلام  ال+ سلف  انفع  من  كلام +نا ?  .  قال  :  ان +هم تكلموا  ل+ عز  ال+ اسلام  ,  و+ نجا +ه ال+ نفوس  ,  و+ رض",positive
 كاءنا  من  كان  .  .  لن  ينجو  اي  شخص  دخل  في  قضيه  فساد  .  .  انتهي  زمن +ك ايها  ال+ مسءول  ال+ فاسد  ال+ متلاعب  ب+ انظمه  و+ مقدرات  ال+ دوله,very_negative
 ال+ اردن  يتقدم  .  ال+ حكومه  ال+ اردنيه  تعلن  اطلاق  مشروع  ال+ مدينه  ال+ جديده  .  .  نتمي  ان  يكون  ال+ تنفيذ  علي  افضل  ما  يكون  .,positive
 دمقراطيه  ترامب  في  ال+ سعوديه  .  سرقه  ال+ اموال  .  و+ اسقاط  طاءرات  و+ اعتقالات  و+ اغتيالات  ال+ شركه  ال+ مساهمه  بن  سلمان  و+ اولاد +ه وترامب  يحكم  ال+ سعوديه,very_negative
 س+ يبك  من  معادلات  ال+ رياضه  و+ ال+ حاجات  ال+ لي  ملهاش  لزمه  في  حياتناممكن  اعمل +كم معادل +ه تبين  قد  اي  وجود  حدفي  حياه +ك بيحسن  نفسيه +ك و+ يزود  ك+ فاءت +ك ب+ نسب +ه ك+ ام,positive
