category,text
-2, بعد  استقاله  رءيس  ال+ محكمه  ال+ دستوريه  ننتظر  استقاله  رءيس  ال+ قضاء  ال+ سودان
1, اهنء  ال+ دكتور  احمد  جمال  ال+ دين  ال+ قيادي  ب+ حزب  مصر  ب+ مناسبه  صدور  اولي  روايه +ه
-1, ال+ برادعي  يستقوي  ب+ امريكا  مره  اخري  و  يرسل  عصام  ال+ عريان  الي  واشنطن  شء  مقرف
-2, ال+ حريه  و+ ال+ عداله  شاهد  ال+ ان  ليله  ال+ اتحاديه  اول  فيلم  استقصاءي  يتناول  اسرار  و  كواليس  تعرض  ل+ اول  مره  حول  حقيقه
0, ال+ والده  لو  اقول +ها ب+ خاطري  حشيشه  تضحك  بس  من  اقول +ها ملل  الله  و+ كيل +ك تعطي +ني محاضره  عن  ال+ فسق  و+ ال+ فجور  ب+ جنوب  ال+ شيشان  ليه  كذا  يانبع  ال+ حنان
0, انتخبوا  ال+ عرص  انتخبوا  ال+ برص  مرسي  رءيسي  اين  رءيسي  ö
1, امير  عيد  هو  ال+ لي  فعلا  يتقال  علي +ه ستريكر  صريح  كاريوكي  ال+ سكه  شمال
-2, احكي  ل +كم قصه  حدثت  بين  شاب  و  احد  ال+ فتيات  كان  بين +هم حب  كبير  و+ لكن  حدثت  غلطه  واحده  ف+ هل  س+ تستمر  هذه  ال+ قصه  و+ يتم
-2, ادعو +كم ل+ حضور  ال+ ندوه  ال+ ثقافيه  ال+ اربعاء  مركز  اعداد  ال+ قاده  ال+ تفاصيل
-1, عوده  جماعه  ال+ اخوان  الي  ال+ حياه  ال+ سياسيه  ب+ نفس  وضع +ها ال+ سابق  مستحيله  والطرمخه  علي  جراءم  ال+ ماضي  لن  تجعل +نا نتقدم  شبرا
-2, علاج  ال+ سكري  اف  نتشورال  ال+ سعوديه  ال+ عراق  ال+ يمن  مصر  قطر  ال+ كويت  عمان  سوريا  ليبيا  رقم
-2, ال+ وطن  موجتان  متعاقبتان  ل+ مقاومه  صناعه  ال+ استبداد  عمرو  حمزاوي
-2, شاهد  اخر  كلام  اضراب  ال+ عاملين  ب+ مصلحه  ال+ طب  ال+ شرعي
1, ال+ صداقه  تزرع  ال+ حياه  ازهارا  مي  زياده
-1, ال+ اصرار  علي  ال+ استفتاء  في  ظل  وطن  ممزق  و+ غليان  شعبي  و+ غياب  امني  و+ قضاء  معطل  و+ اعلام  محاصر  هو  انعدام  ل+ ال+ احساس  ب+ ال+ مسءوليه  نحو  مصر
-2, مصطفي  حسني  علي  طريق  الله  روح  ال+ عباده  ال+ وضوء  كراسه  ايا +ك نعبد  فراءض  و+ اركان  ال+ وضوء  ال+ نيه  نيه  التطهر  من
1, دضياء  رشوان  ان  ال+ دكتور  عبد  ال+ منعم  ابو  ال+ فتوح  ال+ اكثر  اعتدالا  سياسيا  و+ دين +نا كما  ان +ه اجتهد  في  مقاصد  ال+ شريعه
-2, ل+ ال+ بياده  نكهات  عديده  ب+ اسم  يوسف  بوابه  ال+ شروق  نسخه  الموبايل
-2, د  ابو  ال+ فتوح  في  ال+ عاشره  مساء  منصب  رءيس  ال+ جمهوريه  منصب  خدمي  و  اسعي  ل+ خدمه  ال+ مصريين  جميعا  ب+ ال+ ترشح  ل+ هذا  ال+ منصب
-2, انشاء  مراكز  اهليه  و+ خاصه  ل+ تاهيل  و+ تدريب  ال+ معلمين  مع  رفع  مستوي  ال+ دخل  ل+ ال+ معلمين  حتي  يتسني  ل +هم ال+ قيام  ب+ واجب +هم
-1, ادين  ب+ شده  تقديم  كل  صاحب  راي  او  ناشط  سياسي  ل+ ال+ محاكمات  ال+ عسكريه  علي  ال+ مجلس  ال+ عسكري  ال+ التزام  ب+ تعهد +ه ب+ عدم  احاله  ال+ مدنيين  ل+ محاكمات  عسكريه
-2, د  عمار  علي  حسنتحديات  مسوده  ال+ دستور  و+ ال+ انتخابات  ال+ برلمانيه  ال+ مقبله  يوسف  ال+ حسيني
0, مش  هنسالك  و+ انتا  واقف  جنبي  ب+ تطلب  ال+ قصاص  و+ كلاب  ال+ داخليه  ضربوا +ك ب+ ال+ رصاص  جيكا
