text,polarity
 اهنء  ال+ دكتور  احمد  جمال  ال+ دين  ال+ قيادي  ب+ حزب  مصر  ب+ مناسب +ه صدور  اولي  روايه +ه,1
 امير  عيد  هو  ال+ لي  فعلا  يتقال  علي +ه ستريكر  صريح  كاريوكي  ال+ سكه  شمال,1
 ال+ صداقه  تزرع  ال+ حياه  ازهارا  مي  زياده,1
 دضياء  رشوان  ان  ال+ دكتور  عبد  ال+ منعم  ابو  ال+ فتوح  ال+ اكثر  اعتدالا  سياسيا  و+ دين +نا كما  ان +ه اجتهد  في  مقاصد  ال+ شريعه,1
 الي  زملاء +ي ال+ محامين  ال+ راغبين  في  ال+ انضمام  ل+ مبادره  سامعين  صوه +ك التي  تهدف  ل+ دمج  متحد +ي ال+ اعاقه  في  ال+ مجتمع  يسعد +نا اشتراك +كم,1
 هل  هناك  حضاره  دون  وجود  ال+ مراه  يجب  ان  نثق  في  قدرات  ال+ مراه  ف+ هي  داءما  جزء  من  ال+ نجاح  من  غير  ال+ مراه  لن  تكون  هناك,1
 لسان  ال+ عرب  بين  ال+ السنه  ك+ زمن  ال+ ربيع  بين  الازمنه  ال+ يوم  ال+ عالمي  ل+ لغه  ال+ عربيه,1
 بور +ك ل +ك في  ال+ مولود  ادعو  الله  ان  يجمع  شمل  ال+ اسره  في  بيت +هم ال+ طيب  و  يجعل  من  خالد  نعم  ال+ ابن  ل+ نعم  ال+ ابوين,1
 عايز  تكون  عضو  في  حمل +ه ال+ مشير  السيسي  سهل  جدا  ساعد +نا ان +نا نعمل  مليون  شيير  س+ انتخب  السيسي,1
 جمهوري +ه مصر  ال+ طبيعيه  جمهوري +ه ديمقراطي +ه حقيقي +ه جمهوري +ه مدنيه  تحمي  حقوق  ال+ مواطنه  و  ال+ مساواه  و  ال+ عدل,1
 كنت  اكره  ال+ قراءه  و  حول +ني الي  مهوس +ه ب +ها حولت  ال+ بيت  الي  معرض  ال+ كتاب  ممتنه  ل +ك جدا  استاذي,1
 محبين  ال+ برنامج  بيزيدوا,1
 لا  ابدا  انا  مسرور  من  كلام +ك,1
 و+ كامل  ال+ احترام  ل  عباس  ال+ لي  مسك  لسان +ه و+ ما  شتمش,1
 ال+ ناس  لازم  تحس  ان  يونيو  جت  علي +هم بفايده  علي  ال+ مستوي  ال+ اقتصادي  و+ ال+ اجتماعي  يوسف  ال+ حسيني  نقط +ه لقاء  مص,1
 خاف  ال+ نظام  من +ه ف+ ضيع  عينهكمل  تحقيق  حلم +ه فاعتقلوهخرج  و  كمل  طريق +ه ف+ قتلوا +ه ب+ اسم  محسن  حكايه  ثور +ه,1
 النهارده  في  تحقيق  استقصاءي  عبقري  عن  ال+ فساد  في  ال+ بورصه  في  ال+ مصري  ل+ ال+ اسف  هيتوا +ه في  زحمه  ال+ احداث,1
 ال+ كلاب  اوفياء  رجاء  عدم  اهانه +هم,1
 اعجب +ني فيديو  علي  صاحب +ه ال+ سعاده  ابراهيم  عيسي  ال+ واقع,1
 الله  يبارك  في +ك الحمدلله  شدو  ال+ رحال  من  لندن  الي  ليفربول  كانو  واثقين  خلف +هم ال+ عظيم  مورينهو  صيعري  صحافه  اعلام,1
 كان  حي  ال+ طبقه  ال+ متوسطه  ال+ عليا  في  مصر  و  ذهب  الي +ه ال+ كتاب  و  ال+ مثقفين  ال+ مصريين  بحثا  عن  مزيج  نادر  يتفق  مع  طبيعه +ه,1
 ال+ مناضل  حمدين  صباحي  س+ يظل  يناضل  و+ يناضل  حتي  يجد  نفس +ه محكوما  علي +ه ب+ ال+ اعدام  ب+ تهم +ه ممارس +ه ال+ نضال  في  مكان  عام  و+ بكر +ه تشوفوا,1
 ربنا  يبارك  في +كم,1
 ايمان +نا يمحق  تهديد +هم و+ س+ نواصل  نضال +نا ال+ سلمي  مع  ال+ شعب  ال+ مصري  و+ شباب +ه ال+ ثاءر  ل+ استكمال  ثوره +نا و+ ال+ قصاص  ل+ دماء  @@شهداءنا@@ +نا ووفاءا  ل+ روح  ال+ شهيد  محمدالجندي,1
 تذكر +نا ال+ نبيل  مصطفي  نبيل  كاتب +نا ال+ كبير  و+ هو  حي  يرزق  و+ نتمني  ان  يتذكر +ه باحثو  ال+ اعلام  بعد  موتهرحمه  الله,1
 ال+ اعلامي  محمد  فود +ه يعقد  مءتمرا  جماهيريا  غدا  ب+ مدين +ه زفت +ي ب+ حضور  ال+ فنانه  غاده  عبدالرازق  ل+ دعم  ال+ مرشح  عبدالفتاح  السيسي  ال+ عب  ياسيسي,1
 من  يفهم  في  ال+ قانون  اكثر  من  ال+ فقيه  ال+ دستوري  ال+ دكتور  ثروت  بدوي  و+ ال+ دكتور  عاطف  البنا  و+ ال+ استاذ  جمال  عيد  كل +هم ايدوا  قرار  ال+ رءيس  ب+ عود +ه ال+ برلمان,1
 عن  ال+ فرح  ال+ لمه  ال+ خروج  ضحك  ال+ سنين  ال+ غني  ال+ تصوير  ال+ لف  ب+ ال+ عربيه  ال+ شارع  ل+ ال+ صبح  ال+ خبره  عمر  ال+ مسخره  ال+ انبساط  يوم  ف+ شيخ,1
 سبحان +ك يالله  و+ في  ساعه  ال+ مطر  تستجيب  ل+ دعوات +نا عادل,1
 قلمين  عقب  اسبوع  من  محمد  محمود  ال+ مجد  ل+ ابطال  محمد  محمودهتفضل  مصر  شايله  جميل +هم داءما  و+ ابدا,1
 نتفق  مع +ك في  ان  ال+ رجال  يعرفون  ب+ ال+ حق  و+ لا  يعرف  ال+ حق  ب+ ال+ رجال,1
 و  اعتز  ب+ مصريتي  و  صعيدتي,1
 اتمني  ان  تكون  ال+ قوي  ال+ اسلاميه  و+ ال+ ليبراليه  و+ ال+ يساريه  راغب +ه ب+ ال+ فعل  في  تشكيل  قاءم +ه وطني +ه موحد +ه ل+ خوض  ال+ انتخابات  ال+ برلمانيه  ال+ قادمه,1
