text,polarity
«ед∆ «бѕя ж— «Ќгѕ ћг«б «бѕнд «бён«ѕн »Ќ“» г’— »гд«”»е ’ѕж— «жбм —ж«н е,1
«гн— Џнѕ еж «ббн ЁЏб« н ё«б Џбне ” —ня— ’—нЌ я«—нжян «б”яе ‘г«б,1
«б’ѕ«ёе  “—Џ «бЌн«е «“е«—« гн “н«ѕе,1
ѕ÷н«Ѕ —‘ж«д «д «бѕя ж— Џ»ѕ «бгдЏг «»ж «бЁ жЌ «б«яЋ— «Џ ѕ«б« ”н«”н« жѕндд« яг« «де «ћ еѕ Ём гё«’ѕ «б‘—нЏе,1
«бм “гб«∆н «бгЌ«гнд «б—«џ»нд Ён «б«д÷г«г бг»«ѕ—е ”«гЏнд ’ж я «б м  еѕЁ бѕгћ г Ќѕн «б«Џ«ёе Ён «бгћ гЏ н”Џѕд« «‘ —«яяг,1
еб ед«я Ќ÷«—е ѕжд жћжѕ «бг—«е нћ» «д дЋё Ён ёѕ—«  «бг—«е Ёен ѕ«∆г« ћ“Ѕ гд «бдћ«Ќ гд џн— «бг—«е бд  яжд ед«я,1
б”«д «бЏ—» »нд «б«б”де я“гд «б—»нЏ »нд «б«“где «бнжг «бЏ«бгн ббџе «бЏ—»не,1
»ж—я бя Ён «бгжбжѕ «ѕЏж «ббе «д нћгЏ ‘гб «б«”—е Ён »н ег «бЎн» ж нћЏб гд ќ«бѕ дЏг «б«»д бдЏг «б«»жнд,1
Џ«н“  яжд Џ÷ж Ён Ќгбе «бг‘н— «б”н”н ”еб ћѕ« ”«Џѕд« «дд« дЏгб гбнжд ‘нн— ”«д ќ» «б”н”н,1
ћгеж—не г’— «бЎ»нЏне ћгеж—не ѕнгё—«Ўне Ќёнёне ћгеж—не гѕдне  Ќгн Ќёжё «бгж«Ўде ж «бг”«ж«е ж «бЏѕб,1
яд  «я—е «бё—«Ѕе ж Ќжбдн «бм геж”е »е« Ќжб  «б»н  «бн гЏ—÷ «бя «» гг де бя ћѕ« «” «–н,1
гЌ»нд «б»—д«гћ »н“нѕж«,1
б« «»ѕ« «д« г”—ж— гд яб«гя,1
жя«гб «б«Ќ —«г б Џ»«” «ббн г”я б”«де жг« ‘ г‘,1
«бд«” б«“г  Ќ” «д нжднж ћ  Џбнег »Ё«нѕе Џбм «бг” жм «б«ё ’«ѕн ж«б«ћ г«Џн нж”Ё «бЌ”ндн дёЎе бё«Ѕ г’,1
