Tweet	Country	Topic	Sentiment	Sentiment_Expression	Sentiment_Target
"""أنا أؤمن بأن الانسان ينطفئ جماله عند ابتعاد من يحب ، حتى بريق العيون يختفي فيصبح ذابلاً منطفئًا، يتحول ربيعه الى خريف."". @gbraniiat"	lebanon	personal	negative	implicit	بريق العيون
من الذاكره... @3FInQe . عندما اعتقد كريستيانو انه ثاني افضل لاعب في العالم بعد كاكا و ميسي ثالثاً ثم حدث العكس 😂😂😂😂😂😂 https://t.co/n3EZ0pX0X7	jordan	sports	positive	explicit	افضل لاعب في العالم
لا نخلو من ضغوطات الحياة. فنحن نعيش على أرض أعدت للبلاء ولم يسلم منها حتى الأنبياء... توكل على الله دائماً وكن مطمئناً وواثقاً بالله.	palestine	personal	neutral	none	none
"#مصطلحات_لبنانيه_حيرت_البشريه بتوصل عالبيت ، بنط واحد بقلك ""جيت؟"" , بتقعد لتتحدث معو بقلك ""شو في ما في؟""، بتقوم لتمشي بقلك ""ناسي شي؟"" 🤔"	lebanon	personal	negative	explicit	مصطلحات_لبنانيه
"نصمت !! لتسير حياتنا على مً يرام فالناّس لم تعد كما كآنت . "" نقيه """	palestine	personal	negative	explicit	س لم تعد كما ك
يرأس صاحب السمو الملكي الامير الدكتور حسام بن سعود بن عبدالعزيز أمير منطقة #الباحة غداً، جلسات مجلس المنطقة في دورت… https://t.co/E0ToOoWtvJ	palestine	politics	neutral	none	none
@Yousef_MUFC اكثر ما يزعجنا بعد مستوانا خارج ارضنا . هو تمثيل كونتي بعد فوزه علينا	jordan	sports	negative	explicit	مستوانا خارج ارضنا
لا تستسلم للمصاعب والأزمات، بل تحدَّها بالإيمان والصبر ، فكل العظماء كافحوا وتحمّلوا المشاقّ حتى وصلوا بلاط المجد وجلسوا على النجوم	lebanon	personal	very_positive	explicit	['لا تستسلم للمصاعب والأزمات', 'العظماء', 'ازمات']
الف الف مبروك للمنتخب السوري كسب احترام الجميع لعب بروح والعزيمه شكرا على كل شي قدمتوه على مدار التصفيات النهايه برغم الظروف #استراليا_سوريا	lebanon	sports	very_positive	explicit	مبروك للمنتخب السوري
شو حلو الشعور لما تحاول تدرس شي مش فاهمو بالصف و الدكتور ما خصو بشي اسمو شرح و تفهم كل شي لحالك انو بلا جميلتك دكتور 😌	lebanon	personal	positive	explicit	تدرس شي مش فاهمو بالصف
