sentiment,txt
1, انشاء  الله  هنعمل  حاج +ه
0, اقسم  بال +ه ان  ال+ عرب  اكثر  ال+ شعوب  تخلفا
0, هات  ناس  تفهم  .  .  و  ال+ مثل  ب+ حك +ي اسال  مجرب  و  لا  تسال  خبير
0, صرماتي  ب+ راس  اهل +ك
0, حرام  ال+ سخريه  من  ال+ ناس
0, طوقان  ب+ دور  ع  منصب  يضل  في +ه عشر  سنين  ل+ قدام  لاسءلان  في  نووي  و  لا  سلامه  ال+ اردن
1, عمرت +نا كانت  مميزه  جدا  و+ راءعه
0, يمكن  جايين  سكاري  و+ يغنون  !
1, يا  سلام  ما  احلي  ان  يواسي  ال+ مسلم  اخا +ه هذه  هي  اخلاق  ال+ اسلام  التي  اصبحنا  نفتقد +ها يوما  بعد  يوم
0, جد  اشي  ب+ خزي  !  !
0, الله  معكي  يا  حج +ه
0, ازا  كان  حال +ك احسن  من  حالو  دوس  لايك  و+ قول  سبحان  الله
0, يعني  ما  اختار  الا  ال+ اغنيه  ال+ لي  اغلب  احرف +ها ال+ حرف  ال+ لي  يقرط  في +ه
0, و+ الله  ال+ حياه  كل +ها بتخزي  ب+ دون +كم
1, حلو
1, فعلا
0, مسخره
1, الحمدلله  علي  كل  حال
0, لان  ما  بعتقد  انو  في  هالقد  عاهات  ما  بيعرفوا  انو  صوت +هم نشاز  ل+ انو  كتيير  نشاز  و+ ازا  في  رح  تكون  حالات  استثناءيه  مو  ب+ هاد  ال+ كم  ال+ كبير
1, امير +ه ممكن  اضافه  لو  سمحتي
1, اللهم  ارزقنا  و+ ايا +ك ال+ جنه
1, كلام  حقيقي
0, يستهبلووا
0, اذا  ال+ يابان  اكلت  هوا  من  ال+ نووي  كيف  اح +نا
0, ال+ عرق  كل  شوي  يزييد
1, اللهم  ارزقنا  ال+ اخلاص
0, نهايه  مواطن  طفران
1, اللهم  ثبت +ه علي  دين  ال+ اسلام  اللهم  يا  مقلب  ال+ قلوب  ثبت  قلب +ي علي  دين +ك
0, مجانين  ال+ عرب
0, تابعت  هذا  ال+ جوال  من  بدايه  صدور +ه و+ قبل  اقتراب +ه ل+ ال+ عالم  ال+ عربي  .  .  فعلا  يستحق  كل  هذه  ال+ اهميه
0, عاهات
0, و+ ذلك  ل+ يذوقوا  ايران  و+ سوريا  و+ شيعه +هم و+ ب+ ال  امر +هم
1, اللهم  ارزقني  حب +ك و  حب  من  احب +ك و  حب  عمل  يقرب +ني ل+ حب +ك
1, اللهم  اعنا  علي  تقوي +ك
0, انا  متاكده  انو  هذولي  مدفوعلهم  علشان  يجون  يغنون  ل+ انو  مافي  ناس  مهابيل  لهالدرجه
1, الله  يبارك  في +ك ان +ك غيرت  في  صاحبتي  كتير  و+ هي  من  المتءثرين  في +ك و+ هي  ال+ لي  عرفت +ني علي +ك
0, اح +نا بنتهاوش  مع  ال+ كتب
1, اللهم  ار +نا ال+ حق  حقا  و  ارزقنا  اتباع +ه و  ار +نا ال+ باطل  باطلا  و  ارزقنا  اجتناب +ه
0," ه  وهابي  عفن  و+ مكبوت  تفكير +ك محصور  بين  فخذي +ك فقط  ل+ اغير  .  ال+ جنه  اللتي  س+ تدخل +ها انت  لا  اريد  دخول +ها ,  جهنم  اشرفلي  و+ اهون  علي  من  ان  اكون  مع  احد  ال+ وهابيين  ال+ منحطين  ل+ واطيي  ال+ اطفال"
0, اقلب  وجه +ك
1, ابدا  ب+ نفسي  ال+ اول  اغير +ها
1, اللهم  اغن +نا ب+ حلال +ك عن  حرام +ك و  اغن +نا ب+ فضل +ك عمن +من سوي +ك
0, ب+ قرف  زي +ك
0, مزعج  الي  كثير
1, اللهم  ارض +نا ب+ قضاء +ك
1, اللهم  عفو +ك و  رضا +ك و  ال+ جنه
0, من  زمان  ماشفت  مخلوقات  فضاءيه  هع
0, ال+ موضوع  ما  اله  علاق +ه ب+ ال+ تخلف  بس  ل+ ما  تكون  ال+ اضرار  اكثر  من  ال+ فاءده  بلا  من +ه و  ا  لا  هم  من  هيك  ان +ه ال+ مفاعل  ب+ حاج +ه ل+ تبريد  داءم  و  ل+ ال+ اسف  و+ ين  المي  يلي  عن +نا ?  ?  ?  ?
0, اكدب  علي +ك انت  منو  ال+ لي  كاذب  علي +ك
1, يارب  قويني
1, من  توكل  علي  الله  .  .  يعانق  قلب +ه ال+ نور  و  ال+ صفاء
1, الله  اكرم  ال+ اكرمين  اللهم  اعنا  علي  انفس +نا و+ ال+ لهم  ارضي  عن +ك يارب  ال+ عالمين
1, ركز  في  ال+ اجابه  و+ قول  يارب  و+ خد  قرار
0, لا  و+ الله  ما  بلسه  يع
0, ال+ حروف  عند +ه مزغوبه
1, ثبت +ك الله  يا  استاذ +ي و  نصر +ك
0, شي  مءكد  ان +ك حمار
0, الله  لا  يرفع +ه من  مكان +ه ال+ لي  ب+ رفع  ال+ اسعار
0, خر +ي علي +ك
1, ال+ حمد  ل+ الله  الذي  نصر +نا نصرا  مءزرا
0, صرت  عاءل  اشك  اب  هل  امر  صراحتن
0, يا  حبيبي  هاي  صار  ل+ ال+ رجال  تنانير  ?  ?  ?  ?  ?  ?  ?  ?  تفي  ع  هيك  رجاله
0, مين  و+ ل +ه ?
1, وفق +كم الله
0, و  ارضيت  يا  دوله  ال+ رءيس  تكون  .  .  .  الله  اسهل  علي +ك يا  عون  الخصاونه
1, دعاء  جميل  ماشاء  الله
1, ايه  ال+ احساس  ال+ راقي  ده
0, ال+ دول  ال+ متقدمه  ال+ ان  تتجه  لستخدام  ال+ طاقه  ال+ متجدده  ان +ها اقل  كلفه  و  ليس  ل +ها مخاطر  علي  ال+ بيءه  و  ال+ انسان  و  نحن  ال+ ان  نعي +ني من  ضاءقه  ماليه  كبيره  و  شح +ه مياه  شديده  و  كل +نا يعلم  مدي  حاجه  ال+ مفاعل  ل+ ال+ مياه  اذكر +كم فقط  ب+ ما  حدث  في  ال+ يابان  و  هي  ال+ دوله  ال+ اكثر  تطور  في  مجال  ال+ تكنولوجيا  و  هي  عباره  عن  جزر  و  ك+ ذلك  كم  اثر  علي +نا ال+ مفاعل  ال+ نووي  ال+ اسراءيلي  و  حالات  ال+ سرطان  ال+ منتشره  و+ لو  لاحظنا  ال+ تشوهات  ال+ خلقيه  ال+ اكثر  في  جنوب  ال+ بلاد
1, ال+ حمد  الله  علي  ال+ اسلام  .  .  يا  رب  اهدي  كل  من  احب  هذا  ال+ دين  و+ كل  من  تردد  في  دخول +ه .  .  وارحمنا  جميعا
1, اشتاق  ل+ ال+ صلاه  و+ داءما
0, و+ الله  لو  طلبوا  مين  ال+ لي  عندو  قلب  قوي  100  متر  ل+ ال+ جري  مايتقدم  و+ لا  حمار  عربي
0, و+ الله  انا  خايف  انو  طخوا  بعد  هاي  ال+ صوره
1, عجل  يا  الله
1, يمي  شو  هالاكلات  الزاكبه  هاي  شهتونا
1, الله  علي +ك يا  شيخ  تحفه
1, ياسلام  حلوشديد
0, و+ الله  عاهات
1, يسعد  صباح +ك ب+ ذكر  ال+ رحمان
0, و  سياره  ال+ حكومه  من  ال+ سعوديه  اجن  هدي +ه يزلامه  المسءالين  اكلوا +نا
1, يا  ريت  لو  يعملوا  دورات  قبل  ال+ زواج
1, يا  رب  اريد  تجديد  ايمان +ي ساعد +ني
1, عجبت +ني ال+ حلقه
0, و  الله  احلا  شيء  ان +ه ال+ واحد  يهاجر  او  يشتغل  حرامي  عشان  يقدر  يعيش  الله  لا  يوفق  الي  كان  ال+ سبب  و  الله  حرام
1, نعم  و+ ال+ حمد  ل+ الله
1, اللهم  ان  كان  رزق +ي بعيدا  ف+ قرب +ه ل +ي و  ان  كان  قريبا  ف+ يسر +ه ل +ي و+ ان  كان  كثيرا  ف+ بار +ك ل +ي في +ه
1, صباح  ال+ خيرات  و+ ال+ عبادات
1, الله  ما  يحرم +نا من  كلمات +ك ال+ حلوه  يا  شيخ +نا
1, و+ الله  رفعتوا  راس +نا يا  شباب  الله  يقوي +كم
1, صباح  ال+ خير  و  ال+ نور  و  ال+ انوار
0, نيل +ه تنيل +كم من  و+ ين  جايبين  هالحثانه
1, و+ جعل +نا من  ال+ ماء  كل  شيء  حي
1, رب +ك دايما  جنب +ك لو  ناديتوا  ها  تلاق +ه
0, و  هكذا  جنت  علي  نفس +ها براقش
1, ده  عمل +ه نادره  .  .  .  ال+ اخلاق  ملهاش  علاق +ه ب+ ال+ دين
1, ال+ اهم  نكون  صادقين  مع  نفس +نا ل+ نكون  صادقين  مع  ال+ اخرين
1, هذا  ال+ شخص  هو  انت  يامصطفي
1, الله  يهدي  ال+ نفوس
0, ?  سخافه  ال+ شاميين  ابدا  ما  ينفع  ل +هم ال+ كوميديا
1, اللهم  ارزقنا  ال+ عمل  ال+ صالح  و  ال+ زريه  ال+ صالحه  و  ارزقنا  يا  الله  حسن  ال+ خاتمه
1, يارب  تهدينا  الي  ال+ صراط  ال+ مستقيم
1, حينما  ننجح  في  ال+ انتصار  علي  انفس +نا
0, انا  ل+ الله  و  انا  الي +ه راجعون  و  الله  يستر  هالبلد
1, كن  كما  انت  و  لا  تتغير  من  اجل  احد
0, ابو  معيتق  قطع  اوتار  ال+ عود  و+ قال  ال+ سلام  علي +كم
1, اللهم  يا  محول  ال+ احوال  حول  حالي  ان  احسن  حال
0, بطلت  اتجوز
0, ناس  تبي  تتمصخر  ماتدري  شلون
0, حسب +نا الله  و  نعم  ال+ وكيل  فيكوا
1, مفيش  اكرم  و+ لا  ارحم  من  رب +نا
1, و+ نعم +ه ب+ الله
1, اللهم  لا  تدع  ل +ي ذنبا  الا +لا غفره +ه .  اللهم  اصلح  ل +ي ديني
1, اصدقاء  اوفياء  و+ نتعلم  من +هم
1, اللهم  اهدنا  الي  صراطتك  ال+ مستقيم
0, و+ لا  مستحيل  يطلع  واحد  يفشل  نفس +ه كذا
1, قولي  يارب  .  .  ثم  توكلي  علي +ه ان +ه نعم  ال+ مولي  و  نعم  ال+ وكيل  .  و  احتسبي  عند +ه ما  تظنين  ان +ك لا  تقدرين  علي +ه
0, و+ ين  القنا +ه ال+ تافه  الي  تعرض  هذول  ال+ معاتيه  صحيح  نحن  في  انحطاط
0, خليه  يرفع  لكن  ال+ لي  عند +ه وطني +ه و  انتماء  يصف  سياره +ه ب+ ال+ شارع  و  يروح  علي  ال+ شغل  مشي
1, ربنا  المستعان  ادعولنا  ارجو +كم
1, ال+ حمد  انا  متفاءله  جدا  في  كا  امور  حياه +ي ورح  اضل  هيك  داءما
1, حقيقه
0, و+ لا  انا  صوتي  كذا  اجي  اهبال  هوو
1, اللهم  كن  مع  اخوان +نا في  سوريا
1, مش  عارف  ليه  بيتحوله  و  هما  الي  دوار +ه علي +ك و+ كان  نفس +هم تكون  معي +هم في  ال+ اول
0, كلمه  حب  عجبت +ني جيت  اقءلها  جرحت +ني
0, اغبياء
0, عرب  اغبياء
1, اللهم  ارزقنا  رزقا  حلالا
0, مياعه  وسءاله  من  عدول +ه و+ الي  معو
0, كتكوت  ضعيف  ال+ جناح  و  ال+ دنيا  غدرت  ها
0, كل +هم معندهمش  احساس
1, عجبت +ني
1, يارب  ساعد +ني وقويني  و+ ساعد +ني اخد  حبيبي
0, فعلا  مهزله
1, يالله  ما  اروع  هاءولاء  ال+ ناس
1, ربنا  يبارك  في +ه و  يكون  قدو +ه ل+ ال+ جميع  ال+ مسلمين  في  انحاء  ال+ عالم
1, اللهم  ان +ك عفو  تحب  ال+ عفو  ف+ اعف  عن +نا
0, انت  عنجد  بنت  فاشله
0, فطست  ضحك  علي  الشايب
0, تحطم  ماتبقي  من  اطياف +ي
1, ناس  عزيزه  و  ال+ معزه  ل +هم غير  .  .  .  في +هم صفات  ال+ صالحين  ال+ عليه
0, يخرب  ال+ دلع
0, يا  جاهلين  .  .  يلي  ب+ حك +ي عن  ال+ طاقه  .  .  ال+ نووي  و+ جودو  كفيل  ب+ وفاه  10000  شخص  و+ ولاده  10000  طفل  مشو +ه .  .  و+ لو  انو  اشي  منيح  كان  ما  بزتوه  بالصحرا  .  .  و+ جودو  بعيد  ب+ قلل  مخاطر  بس  ما  ب+ منع +ها .  .  و  يلي  ب+ حك +ي انو  اح +نا ام +ه جاهل +ه ما  بد +ها تطور  .  .  ب+ كون  هوه  ال+ جاهل  و  عدو  نفسو  و  عدو  ال+ انسانيه  .  .  و  بلا  ننوي  و  بلا  زفت  .  .  .  قال  نتطور  قال  .  .  لو  بدنا  نتطور  طور +نا حال +نا من  زمان  مش  علي  دور  الننووي  .  .  شعب  جاهل
1, التشاءم  يقتل  ال+ حياه
0, اخ  يا  بطن +ي عور +ني من  ال+ ضحك
1, الله  الله  علي +ك يا  استاذ  عمر  و  بارك  الله  ل +ك و  بارك  علي +ك و  جزاء +ك الله  عن +نا خيرا  كثير
1, بارك  الله  في +ك انانضال  فدعولي  ب+ زوجه  صالحه
1, صباح  ال+ اماني  ال+ محققه  ب+ اذن  الله
1, يجب  علي  ال+ مسلم  ان  يواسي  اخو +ه في  ال+ اسلام
1, اللهم  اجعلنا  داءما  مسلمين  صادقين  في  افكار +نا و  في  اعمال +نا
1, ال+ حمد  ل+ الله  علي  القضا  و  ال+ قدر
1, كلام  سليم
1, سلامي  علي +ك
0, طلعوا  ال+ عرب  اخس  و+ اخس  و+ اخس
0, صوت +ها بعير  و+ مصدق +ه حال +ها
1, يا  رب  خد  بيايدينا  يا  اجبرنا  ياجبار  ال+ سموات  و+ ال+ ارض
0," تدرون  ,  ,  ال+ شرهه  ع  ال+ لي  شجع +هم يروحون  ل+ ال+ برنامج"
1, يارب  انت  المستعان  ف+ اعنا  واهدنا  يارب  ال+ كون  اجمع  استجب
1, انت  يا  دكتور  خير  اخ  رب +نا يزور  علي +ك
1, و+ ان  مدحت +ك ب+ ال+ قصاءد  ماوفيت
0, تليفيزيون  ال+ مستقبل  صار  سيء  ل+ ال+ غايه  ما  ادري  ليش  !  !
1, لان  ب+ ال+ فعل  في  شي
